,Response Time seconds,Battalion,Year_Month,,,
12,264,B02,2019-08,,,
18,1068,B02,2019-08,,90th Percentile Response Time,934.1
19,183,B02,2019-08,,,
28,504,B02,2019-08,,,
29,282,B02,2019-08,,,
32,504,B02,2019-08,,,
38,364,B02,2019-08,,,
39,562,B02,2019-08,,,
43,171,B02,2019-08,,,
44,505,B02,2019-08,,,
49,391,B02,2019-08,,,
52,347,B02,2019-08,,,
57,418,B02,2019-08,,,
59,357,B02,2019-08,,,
61,136,B02,2019-08,,,
68,1271,B02,2019-08,,,
78,957,B02,2019-08,,,
81,256,B02,2019-08,,,
85,471,B02,2019-08,,,
87,265,B02,2019-08,,,
92,653,B02,2019-08,,,
94,327,B02,2019-08,,,
97,886,B02,2019-08,,,
98,518,B02,2019-08,,,
100,410,B02,2019-08,,,
108,321,B02,2019-08,,,
111,164,B02,2019-08,,,
113,330,B02,2019-08,,,
124,170,B02,2019-08,,,
126,181,B02,2019-08,,,
127,359,B02,2019-08,,,
129,109,B02,2019-08,,,
131,368,B02,2019-08,,,
132,306,B02,2019-08,,,
134,302,B02,2019-08,,,
136,420,B02,2019-08,,,
141,381,B02,2019-08,,,
143,961,B02,2019-08,,,
144,315,B02,2019-08,,,
148,451,B02,2019-08,,,
151,1006,B02,2019-08,,,
152,705,B02,2019-08,,,
160,419,B02,2019-08,,,
171,500,B02,2019-08,,,
175,252,B02,2019-08,,,
206,722,B02,2019-08,,,
210,215,B02,2019-08,,,
212,127,B02,2019-08,,,
213,678,B02,2019-08,,,
214,105,B02,2019-08,,,
215,754,B02,2019-08,,,
218,1791,B02,2019-08,,,
219,151,B02,2019-08,,,
234,519,B02,2019-08,,,
236,737,B02,2019-08,,,
243,308,B02,2019-08,,,
247,1108,B02,2019-08,,,
253,270,B02,2019-08,,,
255,752,B02,2019-08,,,
258,888,B02,2019-08,,,
262,499,B02,2019-08,,,
265,471,B02,2019-08,,,
271,394,B02,2019-08,,,
284,346,B02,2019-08,,,
289,133,B02,2019-08,,,
301,188,B02,2019-08,,,
305,1067,B02,2019-08,,,
309,308,B02,2019-08,,,
312,413,B02,2019-08,,,
335,485,B02,2019-08,,,
338,296,B02,2019-08,,,
339,228,B02,2019-08,,,
343,1526,B02,2019-08,,,
346,471,B02,2019-08,,,
353,396,B02,2019-08,,,
361,412,B02,2019-08,,,
366,423,B02,2019-08,,,
370,1115,B02,2019-08,,,
375,164,B02,2019-08,,,
376,1089,B02,2019-08,,,
381,201,B02,2019-08,,,
383,432,B02,2019-08,,,
388,474,B02,2019-08,,,
396,782,B02,2019-08,,,
399,389,B02,2019-08,,,
411,949,B02,2019-08,,,
413,580,B02,2019-08,,,
422,1132,B02,2019-08,,,
425,801,B02,2019-08,,,
429,1332,B02,2019-08,,,
432,272,B02,2019-08,,,
442,725,B02,2019-08,,,
472,341,B02,2019-08,,,
474,370,B02,2019-08,,,
476,587,B02,2019-08,,,
478,626,B02,2019-08,,,
482,646,B02,2019-08,,,
490,226,B02,2019-08,,,
499,752,B02,2019-08,,,
501,709,B02,2019-08,,,
502,676,B02,2019-08,,,
513,0,B02,2019-08,,,
518,296,B02,2019-08,,,
524,325,B02,2019-08,,,
528,606,B02,2019-08,,,
535,226,B02,2019-08,,,
536,437,B02,2019-08,,,
537,273,B02,2019-08,,,
538,321,B02,2019-08,,,
540,296,B02,2019-08,,,
551,826,B02,2019-08,,,
557,280,B02,2019-08,,,
559,321,B02,2019-08,,,
577,0,B02,2019-08,,,
581,1107,B02,2019-08,,,
582,414,B02,2019-08,,,
585,400,B02,2019-08,,,
589,280,B02,2019-08,,,
596,311,B02,2019-08,,,
601,256,B02,2019-08,,,
604,657,B02,2019-08,,,
606,439,B02,2019-08,,,
610,231,B02,2019-08,,,
613,553,B02,2019-08,,,
621,706,B02,2019-08,,,
625,1953,B02,2019-08,,,
628,1167,B02,2019-08,,,
638,340,B02,2019-08,,,
639,810,B02,2019-08,,,
645,951,B02,2019-08,,,
649,149,B02,2019-08,,,
659,269,B02,2019-08,,,
661,169,B02,2019-08,,,
662,776,B02,2019-08,,,
663,667,B02,2019-08,,,
668,161,B02,2019-08,,,
674,1032,B02,2019-08,,,
675,197,B02,2019-08,,,
691,761,B02,2019-08,,,
699,1226,B02,2019-08,,,
703,572,B02,2019-08,,,
706,107,B02,2019-08,,,
711,266,B02,2019-08,,,
715,511,B02,2019-08,,,
719,379,B02,2019-08,,,
724,1012,B02,2019-08,,,
727,297,B02,2019-08,,,
728,257,B02,2019-08,,,
735,376,B02,2019-08,,,
738,216,B02,2019-08,,,
739,287,B02,2019-08,,,
747,641,B02,2019-08,,,
753,593,B02,2019-08,,,
764,1060,B02,2019-08,,,
766,416,B02,2019-08,,,
769,288,B02,2019-08,,,
772,524,B02,2019-08,,,
776,164,B02,2019-08,,,
785,600,B02,2019-08,,,
786,1301,B02,2019-08,,,
796,484,B02,2019-08,,,
797,1241,B02,2019-08,,,
798,1101,B02,2019-08,,,
802,884,B02,2019-08,,,
803,1010,B02,2019-08,,,
807,889,B02,2019-08,,,
808,740,B02,2019-08,,,
815,250,B02,2019-08,,,
816,458,B02,2019-08,,,
824,204,B02,2019-08,,,
830,399,B02,2019-08,,,
835,307,B02,2019-08,,,
849,242,B02,2019-08,,,
857,351,B02,2019-08,,,
858,321,B02,2019-08,,,
